Rekomendasi Arsitektur per Tahap Training (3 -> 20 Kelas, Ganjil)

Kelas | BiLSTM Units | Dense 1 | Dense 2 | Dropout   | Batch Size | Epochs | EarlyStopping Patience | LR
------|--------------|---------|---------|-----------|------------|--------|------------------------|-------
3     | 64           | 64      | 32      | 0.4 / 0.3 | 32         | 200    | 30                     | 0.001
5     | 64           | 64      | 32      | 0.4 / 0.3 | 32         | 200    | 30                     | 0.001
7     | 64           | 128     | 64      | 0.4 / 0.3 | 32         | 200    | 30                     | 0.001
9     | 64           | 128     | 64      | 0.4 / 0.3 | 32         | 250    | 35                     | 0.001
11    | 128          | 128     | 64      | 0.4 / 0.3 | 32         | 250    | 35                     | 0.001
13    | 128          | 256     | 128     | 0.4 / 0.3 | 32         | 300    | 40                     | 0.0008
15    | 128          | 256     | 128     | 0.4 / 0.3 | 64         | 300    | 40                     | 0.0008
17    | 128          | 256     | 128     | 0.5 / 0.4 | 64         | 350    | 45                     | 0.0005
19    | 128          | 512     | 256     | 0.5 / 0.4 | 64         | 350    | 45                     | 0.0005
20    | 128          | 512     | 256     | 0.5 / 0.4 | 64         | 400    | 50                     | 0.0005
